Chinese
dim sum
thank thank
chance chance
good pretty
sticky sticky
delivered delivered
surprise surprise
lunch specials
tacos tacos
msg msg
wraps lettuce
moved moved
thinking thinking
chinese restaurant
neighborhood neighborhood
fair fair
piece piece
glass glass
mai mai
food great
soup noodle
salt pepper
dark dark
means means
plain plain
taken taken
beer beer
egg drop
similar similar
pepper salt
11 11
soup hot
rolls egg
early early
potstickers potstickers
calamari calamari
dont dont
oily oily
yeah yeah
sick sick
soup wonton
boba boba
cup cup
stick stick
finish finish
sad sad
satisfied satisfied
gross gross
walking walking
menus menus
months months
music music
place food
c c
won ton
50 50
service food
sour soup
sauce soy
noodle soup
balls balls
good really
mongolian beef
taco taco
corner corner
corn corn
meats meats
chicken ordered
staff friendly
case case
awful awful
chain chain
s s
sliced sliced
cart cart
eggs eggs
hate hate
city city
tempura tempura
minute minute
talking talking
chicken sweet
worse worse
friendly staff
box box
asking asking
rolls spring
longer longer
soup egg
wine wine
avoid avoid
crab puffs
cash cash
thanks thanks
beautiful beautiful
frozen frozen
truly truly
pot stickers
consistent consistent
credit credit
great service
chocolate chocolate
store store
TRUE TRUE
shot shot
par par
spend spend
hot soup
chicken sour
fortune fortune
smaller smaller
pork bbq
expectations expectations
loves loves
face face
soda soda
great food
month month
odd odd
grill grill
stickers pot
happened happened
cookies cookies
talk talk
floor floor
spring rolls
specials lunch
egg soup
waiters waiters
restaurant chinese
watch watch
wonton soup
daughter daughter
loud loud
morning morning
scottsdale scottsdale
heavy heavy
sea bass
coupon coupon
bass sea
bf bf
wall hole
b b
salmon salmon
chinese place
hole wall
knows knows
sake sake
puffs crab
scallops scallops
sauce sweet
word word
woman woman
pretty good
drop egg
squid squid
really good
shopping shopping
chinese authentic
split split
u u
strange strange
hey hey
meh meh
place chinese
chicken kung
cabbage cabbage
carrots carrots
beijing beijing
charged charged
rangoon rangoon
ice cream
chow fun
basil basil
picky picky
vegan vegan
roti roti
tom tom
paper paper
pop pop
bbq pork
rice white
satay satay
smile smile
strong strong
egg roll
raw raw
general tso's
bag bag
hear hear
incredible incredible
baked baked
fun chow
didnt didnt
peas peas
bread bread
round round
concept concept
fu fu
rare rare
turn turn
tso's general
delish delish
happy hour
chicken pao
pf changs
changs pf
recommend highly
missing missing
cream ice
compare compare
issue issue
highly recommend
pho kim
chinese restaurants
car car
congee congee
food like
hoping hoping
works works
hour happy
food fast
rice egg
shrimp fried
basic basic
plastic plastic
coast coast
good service
service great
mustard mustard
nasty nasty
rush rush
don't know
reminded reminded
rock rock
what's what's
buy buy
double double
quiet quiet
chicken egg
peanuts peanuts
sauce chicken
coffee coffee
eye eye
soy sauce
noodles noodle
kid kid
soup beef
cocktails cocktails
sample sample
chicken beef
bathroom bathroom
food restaurant
pork belly
pong pong
know don't
rice pork
dollar dollar
mini mini
pork fried
food just
sweet sauce
rice ordered
stir fry
pizza pizza
chicken general
fried egg
prices reasonable
fried pork
like just
i've best
egg rice
d d
pictures pictures
beef soup
lunch special
rice brown
bright bright
drinking drinking
ny ny
visits visits
chicken spicy
18 18
egg fried
gravy gravy
har har
crap crap
groups groups
diners diners
night late
bone bone
cashier cashier
chicken good
fried shrimp
cooks cooks
chinese best
sum carts
taro taro
like tasted
sauce fried
reasonable prices
late night
girls girls
happen happen
shaved shaved
good place
sense sense
tendon tendon
drop soup
fried sauce
pork rice
consistency consistency
service friendly
ridiculous ridiculous
food quality
just like
egg foo
picture picture
roll egg
stars 5
14 14
fries fries
noodle noodles
drunk drunk
good chinese
breaded breaded
locations locations
strip mall
13 13
carnitas carnitas
cilantro cilantro
chinese good
moving moving
chicken like
ordered chicken
shrimp walnut
eggrolls eggrolls
best i've
chefs chefs
hint hint
beef noodle
blah blah
chicken mein
step step
beef tender
service customer
soup broth
place good
food really
menu items
o o
2 1
mall strip
beef ordered
beef broccoli
fried deep
friendly service
noodle beef
rice sauce
char char
yellowtail yellowtail
chicken dish
5 stars
food time
dad dad
burrito burrito
chicken sesame
ive ive
place like
duck peking
said asked
hold hold
major major
grease grease
stars 4
gluten gluten
asians asians
food prices
drove drove
minutes 10
fried pan
like don't
belly pork
booths booths
new york
black bean
banana banana
heart heart
living living
oysters oysters
sauce dish
plentiful plentiful
duck roast
pot hot
hot pot
i'm sure
ordered came
pig pig
food best
1 2
place great
bok choy
san francisco
place love
priced reasonably
food price
reasonably priced
he's he's
bean black
sour chicken
cups cups
fried ordered
good chicken
foo young
dish sauce
minutes 15
i've times
customer service
francisco san
soup ordered
shrimp rice
york new
beef chicken
boring boring
temperature temperature
ordered rice
food eat
food authentic
place try
came ordered
brunch brunch
christmas christmas
sweet chicken
office office
fountain fountain
food it's
diner diner
chicken white
roast duck
good like
ping ping
food don't
http www.yelp.com
sauce rice
nyc nyc
beef noodles
authentic chinese
asked said
crunch crunch
salsa salsa
chicken soup
broccoli beef
beef fried
4 stars
potatoes potatoes
like really
sauce garlic
p p
sauce spicy
porridge porridge
rice shrimp
egg chicken
food better
good just
beef spicy
items menu
cheese cream
bacon bacon
pao chicken
sandwiches sandwiches
sooo sooo
won tons
place it's
beef rice
bones bones
crappy crappy
tea iced
soup rice
chicken flavor
ass ass
self self
tai tai
special lunch
like food
cream cheese
tasted like
like place
sure i'm
rice beef
alcohol alcohol
really like
soup bowl
noodles beef
soooo soooo
t t
walnut shrimp
place just
green beans
kobe kobe
order minutes
like feel
chicken teriyaki
dozen dozen
names names
wtf wtf
great place
shrimp sauce
white rice
sushi samba
ordered fried
rice soup
food order
60 60
ma ma
trays trays
sushi rolls
pleasantly surprised
frequently frequently
pf chang's
chino bandido
sauce dipping
crab rangoon
years ago
chicken broccoli
food asian
beans green
annoying annoying
coke coke
confused confused
mi mi
fried beef
chang's pf
walnut honey
sauce chili
like didn't
service good
sam woo
minutes 20
honey walnut
chinese american
gf gf
pork buns
deep fried
brown rice
chicken crispy
it's like
ordered beef
beef sauce
containers containers
filet filet  2.14E-07   
toast toast  1.87E-07   
toppings toppings  1.26E-07   
10 minutes  2.97E-07   
spicy sauce  1.60E-07   
restaurants chinese  1.32E-07   
burnt burnt  4.29E-08   
try decided  9.89E-08   
dish ordered  year 2.37E-07  
it's place  4.01E-07   
gyoza gyoza  2.49E-07   
ha ha  3.05E-07   
soup noodles  2.33E-07   
soup won  2.18E-07   
love place
har gow
don't like
excuse excuse
strawberry strawberry
sauce flavor
woo sam
fast food
beware beware
regulars regulars
place really
make sure
times i've
order time
brings brings
clams clams
post post
chicken shrimp
play play
po po
best chinese
order ordered
like it's
good fried
chinese like
ping pang
chin chin
chicken curry
spicy chicken
sauce sour
iced tea
tso tso
like taste
reviews yelp
sure make
pang ping
hurry hurry
winner winner
order took
pan fried
just right
properly properly
yuck yuck
place service
pho long
chicken meat
spoiled spoiled
good rice
kim pho
yelp reviews
chicken jade
awkward awkward
ceviche ceviche
good it's
chicken tasted
dan noodles
pork sauce
peking duck
brisket brisket
careful careful
beef dish
beans black
pho broth
sauce ordered
chicken got
chicken jerk
shrimps shrimps
food friendly
minutes waited
food fresh
www.yelp.com biz_photos
food ordered
pho vietnamese
reasons reasons
salad dressing
duck roasted
chinese americanized
like looked
chinese it's
kim long
rangoon crab
food people
service slow
general chicken
ordered dish
searching searching
minutes 30
like good
restaurant food
good soup
cooked perfectly
beef chow
ordered order
noodles broth
chicken pork
decided try
hip hip
food pretty
noodles soup
pots pots
food came
pork sweet
spicy dish
just food
fried sweet
fishy fishy
kidding kidding
time order
rice good
noodles sauce
chicken just
broth soup
food bad
sauce like
y y
minutes took
red jade
food i've
carts dim
food come
talked talked
minutes order
crab legs
food want
spicy beef
sell sell
good ordered
stars 3
lunch dinner
spare ribs
time long
15 minutes
jade red
perfectly cooked
sauce shrimp
spicy ordered
service fast
2 3
minutes later
mein chicken
minutes wait
don't think
just good
baos baos
bo bo
won soup
good beef
black beans
chinese dishes
spring mountain
soup chicken
english speak
holy holy
papaya papaya
tank tank
it's good
food say
soup good
place clean
really food
shumai shumai
chicken order
mountain spring
fast service
hotpot hotpot
pork ordered
hung hung
mochi mochi
rice steamed
reviews reading
ordered soup
mint mint
suck suck
place eat
speak english
pong ping
chicken chow
just don't
it's food
food staff
shrimp chicken
room dining
legs crab
ordered sauce
hello hello
pull pull
like sauce
garlic sauce
chicken lo
shu mu
buns pork
chicken lemon
chinese i've
snickerdoodle snickerdoodle
sauce pork
quality food
pong pang
ping pong
chicken garlic
parking lot
3 2
think don't
win win
food portions
pork chops
rice roll
dish spicy
roll tuna
it's i've
mu shu
e e
slow service
food got
restaurant service
los angeles
chinese mexican
green onion
tray tray
fried good
just didn't
just place
sushi roll
pang pong
good price
egg young
ice shaved
dining room
shabu shabu
tons won
rice order
sauce bean
really just
sour sauce
time food
kimchi kimchi
ugh ugh
beef good
rice dish
time second
didn't like
place time
it's just
soup fried
chinese places
delivers delivers
lose lose
nope nope
chicken wings
really place
service excellent
sauce beef
order just
order told
food know
lines lines
sesame chicken
chicken pieces
3 stars
mexican fusion
noodles ordered
fortune cookies
good little
chicken mongolian
chicken delicious
roll sushi
reading reviews
pork duck
sauce crispy
hooked hooked
lee lee
tummy tummy
food delicious
just really
credit card
chicken red
20 minutes
pork dumplings
chinese style
long time
menu dishes
thai curry
shrimp pork
sauce black
rice like
sushi bar
onion green
chicken dry
food love
rice sweet
mad mad
meaty meaty
spicier spicier
vegetarians vegetarians
just time
bao xiao
samba sushi
i'm fan
cookies fortune
dumplings pork
complained complained
fate fate
l l
suey suey
rice just
sauce cooked
it's chinese
just ordered
service restaurant
great prices
appealing appealing
condiments condiments
northern northern
wet wet
dishes menu
rolls sushi
excellent service
right just
good nice
dish chicken
time went
took minutes
like chinese
food i'm
shrimp honey
ordered spicy
wait minutes
lot parking
flavor sauce
it's don't
signs signs
feel like
portion size
asked told
noodles fried
ordered just
sum cart
chicken hot
fried soup
duck pork
try place
mexican chinese
failed failed
smoothie smoothie
wait long
size portion
prices food
chicken taste
chicken crab
sauce hot
cha cha
david david
melon melon
like looks
good prices
bean sprouts
noodle broth
like chicken
chinese area
adequate adequate
told asked
food decent
dinner lunch
good sauce
food express
place people
buffet buffets
sweet fried
chicken beans
chicken cashew
sauce brown
don't want
chicken really
place don't
wing wing
pork shrimp
place looking
place best
ton soup
dish flavor
dish beef
chicken veggies
ah ah
messed messed
palms palms
saigon saigon
noodles singapore
i've tried
place i'm
noodles dish
just order
sauce noodles
place vegas
waited minutes
pork roast
curry chicken
bang bang
reheated reheated
site site
good great
sweet pork
order called
just ok
food going
dipping sauce
gluten free
cucumbers cucumbers
jelly jelly
ordered got
order said
like felt
chicken special
pho bowl
noodles hand
jerk jade
food times
fried dish
chinese menu
obvious obvious
truck truck
hit miss
miss hit
chili sauce
fortune cookie
broth noodles
food think
chicken tasty
rice sticky
food way
i've eaten
food eating
time just
order delivery
shrimp ordered
m m
dressing salad
pork sour
free gluten
fried crispy
ling ling
tapioca tapioca
chicken dishes
sauce just
rice got
just it's
spicy hot
like did
egg ordered
came asked
eel eel
don't just
it's pretty
it's i'm
place know
fried stir
food lot
chicken rolls
tender beef
bean curd
roasted duck
sauce tasted
asked wanted
just got
want don't
price food
said told
minutes 45
fried like
soup shrimp
portions generous
beef like
like i'm
inside outside
food went
3 4
curry thai
order menu
soup pork
china poblano
food nice
taste like
looked like
hot spicy
generous portions
ordered pork
like order
chinese typical
didn't just
roll rice
like fried
duck skin
milk condensed
order asked
little bit
just i'm
fan i'm
tom yum
beef pork
soup like
like know
pad ew
4 3
like think
reviews read
dish fried
fat choy
beans jerk
flakes flakes
place want
good got
large portions
place better
noodles chow
chili oil
chicken cooked
30 minutes
onions green
rice combo
tea milk
beef stew
i've it's
outside inside
delivery order
6.5 6.5
pound pound
ordered didn't
chicken pepper
service place
ordered good
good time
good egg
chinese real
curd bean
fried noodles
egg sauce
sauce egg
chicken tried
good pork
taste buds
order food
service attentive
cookie fortune
nuts nuts
rice sour
chinese cuisine
bowl soup
duck crispy
fusion mexican
yum tom
peas snow
shrimp pepper
chang's p.f
dish dishes
shut shut
sub par
menu order
piping hot
food cheap
mom pop
teriyaki chicken
chops pork
best food
like places
product product
push push
place places
minutes waiting
got ordered
snow peas
5 4
like eat
chicken favorite
lunch egg
long wait
wait staff
chinese china
beef broth
place going
sauce good
food little
order got
sour egg
rice came
sour fried
wanted asked
order placed
just know
it's really
young egg
food definitely
chicken honey
rice orange
like said
order ready
food minutes
good flavor
curry roti
like little
r r
oil chili
sauce meat
steak eggs
chinese better
pork beef
sauce tender
authentic food
pork steamed
food places
pork chicken
j j
mei mei
truth truth
shopping center
tea green
chicken black
dishes chinese
asian food
tso's chicken
dish rice
place pretty
got came
roast pork
good dishes
noodles pork
read reviews
right away
order like
like ordered
time times
just say
nigiri nigiri
crispy sauce
food hot
soup flavor
ordered time
24 hours
restaurant clean
food excellent
fried chow
chicken vegetables
chinese know
food panda
can't beat
fyi fyi
minutes 5
broccoli chicken
like time
portions large
shaved ice
experience dining
4 5
p.f chang's
style hong
took order
food took
crab cheese
sauce taste
vietnamese pho
dining experience
place reviews
soup spicy
jade jerk
dish like
string beans
got just
jerk chicken
ordered egg
chinese just
bean sauce
great friendly
hot sauce
it's you're
jerk rice
like rice
good try
time come
sweet rice
green onions
place restaurant
place think
dumplings dumpling
tea ice
portions huge
raved raved
fried crab
chinese phoenix
chicken emerald
pork good
dumplings steamed
went time
beef flavor
noodles pan
sauce veggies
place i've
late open
menu extensive
huge portions
shrimp soup
tea hot
place friendly
pork egg
noodle dish
pu pu
xlb xlb
ma po
general tso
time ordered
food restaurants
rice chow
good think
condensed milk
hot fresh
order came
yep yep
it's know
order rice
kong style
food home
chinese i'm
ice tea
really nice
time service
came minutes
wings chicken
attentive service
rice jerk
food make
good hot
family owned
roll rolls
bit little
tuna roll
desk desk
ho ho
tomatoes tomatoes
just eat
came got
time place
you're looking
hong style
just want
beans jade
sour pork
beat can't
just wasn't
vegas best
lunch today
really it's
good shrimp
place come
ordered noodles
pho 24
black sauce
apple apple
k k
nom nom
yea yea
jose andres
ordered tasted
noodles dan
place recommend
food did
good thing
soup wontons
good restaurant
shrimp dish
good tried
food taste
rice entree
pot clay
place nice
good taste
best vegas
hot tea
time came
chow noodles
siu mai
jello jello
ordered shrimp
asked came
away right
like thing
just little
just bad
soup special
place say
tofu dish
just maybe
really liked
food amazing
better food
chinese great
pork noodles
language barrier
rice special
order phone
eat food
forgotten forgotten
gas gas
speedy speedy
order did
egg crab
soup lunch
good i've
tofu fried
rice beans
pork crispy
flavor dish
ok just
moo shu
sauce little
didn't ordered
food didn't
chinese new
lunch soup
tofu sauce
needless say
food try
tso general
egg pork
good wasn't
american chinese
good tasty
chicken lettuce
looking forward
order didn't
i'm just
vegas strip
like way
meat white
hand pulled
boba tea
got went
sauce vegetables
crab puff
shrimp egg
good overall
chinese looking
broth noodle
dishes dish
good fresh
noodles rice
dish noodle
egg lunch
sushi sashimi
food clean
beef meat
delectable delectable
food area
crab fried
dish favorite
place little
roti curry
table seated
rice bowl
just think
quesadilla jade
ordered like
rice plate
don't it's
dish noodles
order pick
crispy fried
food dishes
good best
spicy like
singapore noodles
wasn't bad
it's restaurant
boneless boneless
mmm mmm
page page
soupy soupy
shark fin
pork pepper
noodles spicy
rice noodles
minutes came
service quick
crab rangoons
rice lunch
didn't asked
sauce served
food quick
good lunch
beef orange
clean friendly
time try
tried i've
price reasonable
just came
ordered menu
family style
night friday
table came
rice flavor
chicken best
really didn't
beef shrimp
details details  2.83E-07   
tight tight  6.35E-08   
broth pho  4.88E-07   
good better  6.03E-08   
hidden gem  2.08E-07   
pepper black  25 30min where's 3.78E-07
beef dishes  2.26E-07   
chinese don't
like look
it's think
star rating
waitress asked
sauce oyster
just sauce
lunch rice
table minutes
like dish
fresh hot
food experience
stir fried
don't food
eggs steak
didn't came
open 24
came time
ear ear
night saturday
duck bbq
left overs
chicken wasn't
forward looking
told said
came didn't
style family
came took
food ok
fin shark
chicken chinese
pork dish
east coast
pulled hand
ordered asked
xiao long
chinese favorite
pork salt
owned family
came table
time like
looks like
eat place
i've chinese
coast east
friendly clean
tea boba
table wait
quick service
ew pad
chicken food
fried order
like try
crab egg
clean place
curry yellow
gem hidden
big fan
fried just
shrimp beef
like dishes
noodle wonton
liquid liquid
wah wah
good spicy
beef delicious
great love
like people
said didn't
restaurant vegas
beef tasty
food menu
clay pot
service time
pork meat
sauce white
star 5
noodles bowl
beef tendon
highly recommended
place new
good sour
honey shrimp
chinese really
looking you're
fried orange
thai tea
rice dry
place definitely
char siu
just wanted
gold coast
chicken lunch
mein noodles
ordered food
recommended highly
good rolls
chow chicken
fast friendly
chinese valley
i'm like
belly bao
like make
firm firm
sodas sodas
asked didn't
buns steamed
rice cooked
ordered dishes
fan big
lunch went
noodles pulled
menu ordered
i've i'm
chicken came
fried white
chicken little
food worth
time wait
pork soup
bbq duck
eaten i've
americanized chinese
rice tasted
ordered wasn't
said order
beef fun
checks checks
ham ham
minutes table
like restaurant
i'm it's
chicken breaded
asian cuisine
chow fried
good don't
sauce ginger
place area
shrimp good
restaurant asian
crispy chicken
pork bao
milk tea
best far
food delivery
asked waitress
menu chinese
moo goo
star 1
sushi tuna
i'm going
food family
sauce onions
spicy spice
dish meat
chicken tender
dishes ordered
adventure adventure
i've years
small portions
reasonable price
jade chicken
quesadilla beans
beef mein
chicken breast
ordered did
ordered took
strip vegas
really enjoyed
spicy soup
just way
food lunch
waiting minutes
quesadilla burrito
chop suey
rice soy
beans quesadilla
pretty decent
stars 3.5
ordered flavor
time got
got order
beef crispy
like lot
chicken didn't
open late
boo boo
messy messy
mojito mojito
chinese craving
jerk quesadilla
quesadilla jerk
bao pork
food vegas
like beef
great staff
chicken brown
rice meat
stars giving
pretty food
noodle bowl
rangoons crab
place lunch
portion sizes
good sweet
fried steamed
shrimp salt
dishes try
tea thai
wait table
vegas place
menu try
table asked
salsa chips
chicken bland
friday night
hot ordered
place asian
beef cooked
chicken combo
egg good
like got
spicy flavor
beef sweet
deli deli
levels levels
did like
like flavor
place bad
i'm place
egg sweet
asian restaurant
steamed buns
sticky rice
soup just
fried wontons
like pretty
chinese broccoli
service bad
good portions
good tasted
food looking
came order
chow rice
money waste
pho vegas
try time
rice veggies
5 star
good bad
friendly fast
sum vegas
spicey spicey
asian fusion
great good
ordered said
fried beans
sauce delicious
beans rice
food isn't
crab cream
best town
i'm glad
fried tofu
wontons wonton
sauce pepper
sushi fresh
shrimp crab
told order
place years
eat don't
bay area
can't wait
order wanted
pork bun
food years
black pepper
banh mi
chicken great
steamed rice
soup tasted
just try
stars 2
bar sushi
dish tofu
food recommend
chicken i've
ga ga
rooms rooms
spareribs spareribs
didn't said
minutes told
don't eat
food reasonable
fried flavor
chicken meal
noodles flavor
buffets buffet  1.61E-07   
rice meal
like meat
just flavor
order make
green tea
chicken fresh
good eat
pretty it's
curry panang
pho tai
sauce broccoli
goo gai
like spicy
mein fried
good places
minutes ready
i'm i've
rolls ordered
rice dishes
got time
lemon chicken
got rice
white meat
know just
chances chances
jellyfish jellyfish
pushy pushy
ring ring
seasonal seasonal
restaurant like
good definitely
place decided
felt like
prices great
staff attentive
just said
time minutes
beans fried
roll crab
minutes time
spicy chili
fried special
rating star
ling louie's
food tasty
chicken quesadilla
just taste
it's worth
got chicken
little like
chicken wraps
fried got
clean restaurant
white chicken
crepe crepe
layer layer
load load
pool pool
pork flavor
wasn't just
said like
i've food
really ordered
soup delicious
chicken house
saturday night
meat sauce
rice broccoli
portions small
just thing
like came
food chicken
little just
don't place
chinese far
japanese brazilian
nice staff
good dish
just did
stew beef
roll spring
sauce green
noodle dishes
dish cooked
wasn't didn't
like sweet
come time
8pm 8pm
da da
insanely insanely
ribeye ribeye
cooked sauce
place went
cart dim
rolls roll
chinese fast
times time
1 star
mein rice
45 minutes
didn't know
time i've
buffet selection
beef pepper
tofu mapo
flavor chicken
foo yung
spicy sweet
just make
style chinese
chicken flavorful
garlic chicken
food rice
food wait
service table
got didn't
came food
i've better
rice delicious
sauce steamed
place right
chicken try
food real
ordered hot
place stars
fried garlic
spring roll
didn't really
minutes finally
intestines intestines
came just
food said
steamed dumplings
bad wasn't
brown sauce
5 minutes
just asked
portions prices
minutes seated
restaurant it's
egg special
broth bowl
got good
review write
giving stars
soup roll
buffet sushi
little good
egg hot
food right
fresh food
attentive staff
rice spicy
ordered rolls
order don't
1.5 1.5
remembers remembers
time took
friendly food
just rice
spicy noodles
lunch great
lunch menu
rice taste
food overall
brazilian japanese
rice crab
try new
beef egg
food americanized
spot hit
fried delicious
far best
eat just
wait time
just went
table sat
asked order
chicken roll
know like
chow mien
tasted ordered
order orders
pork chop
like eating
time good
food thing
shrimp sweet
tasted sauce
second time
soup dumplings
chinese fried
fresh ingredients
say just
burrito quesadilla
place prices
soup best
just come
level spice
faux faux
food usually
like soup
chocolate dessert
3.5 stars
noodles like
long pho
best place
soup came
like nice
2 stars
food sure
jerk red
waiter asked
bowl broth
try definitely
good order
you're it's
food away
dishes like
restaurant just
chips salsa
restaurant restaurants
combo rice
vegas restaurant
said came
waste money
fried vegetable
chicken did
order fried
lamb cumin
noodle ordered
i've place
chinese try
food meal
try menu
nice really
thai basil
good actually
just service
food long
better i've
chinese people
like wasn't
dinner night
food fried
place times
rice didn't
sauce pieces
good i'm
just restaurant
went got
places chinese
blows blows
candy candy
ta ta
want just
today lunch
sushi japanese
prices portions
chinese say
special house
year old
extensive menu
prices high
sauce thick
better places
food 10
rice vegetables
chinese want
ordered delicious
b c
soup entree
mongolian chicken
chicken time
shrimp tasty
service horrible
steamed pork
soup wor
puff crab
ordered told
fried combo
meat chicken
times eaten
beans refried
pepper shrimp
spice level
dishes tried
said wanted
didn't order
said just
really i'm
timing timing
roll lunch
dish pork
fish sauce
good quite
carrots peas
peas carrots
place staff
food money
place tried
sauce came
table service
beef order
roll ordered
minutes asked
fried greasy
eat like
sauce tofu
mien chow
love food
ordered sweet
good went
service prices
order ask
great price
wonton noodle
didn't got
it's best
just people
brown white
dish just
nice good
sauce tasty
food atmosphere
pepper pork
hour half
dessert cream
staff clean
food comes
fried rolls
labeled labeled
mole mole
straw straw
fried pepper
i've places
area chinese
like better
tender sauce
shu mai
people place
i've seen
minutes got
good meat
cream dessert
fried dishes
dan mian
good know
chinese years
chicken noodles
ordered really
definitely worth
dish vegetables
broth beef
good bit
sliced thinly
veggies sauce
town best
order ordering
sum places
ordered minutes
places better
food left
good quality
i've time
said called
spicy good
stay away
soup got
staff food
food actually
took came
asked ordered
like i've
jerk fried
bars bars
huh huh
ol ol
shady shady
chinese pretty
times couple
broccoli sauce
sauce peanut
sauce lobster
sauce light
night dinner
beef just
bad just
lunch good
hit spot
server asked
really think
flavor ordered
order usually
lunch place
know let
minutes arrived
fusion asian
service server
like kind
ordered friend
beef flavorful
called order
minutes ordered
house special
places like
peruvian corn
sour ordered
cashew chicken
good meal
